Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir
All_coef,left,SVM,0.7992366785731762,0.8099489795918366,0.88,0.8657407407407407,0.8148148148148148,0.9166666666666666,0.8687025870453218,0.89429012345679,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\SVM\20260919_163223
All_coef,left,MLP,0.8459656505357929,0.851630570077172,0.8266666666666667,0.8240740740740741,0.8148148148148148,0.8333333333333334,0.8160724391624221,0.8757716049382716,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\MLP\20260919_163223
All_coef,left,ResNet,0.5786563585653471,0.5781517094017095,0.6,0.5254629629629629,0.25925925925925924,0.7916666666666666,0.5175814751286449,0.5462962962962963,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\ResNet\20260919_163228
All_coef,left,ResNetAE,0.5923080686989284,0.5913777972795085,0.64,0.5567129629629629,0.25925925925925924,0.8541666666666666,0.5468784963078988,0.5609567901234568,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\ResNetAE\20260919_163234
All_coef,left,MobileNet,0.6816558203258796,0.6891948268669168,0.72,0.6516203703703703,0.4074074074074074,0.8958333333333334,0.6576831123668767,0.7229938271604938,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\MobileNet\20260919_163240
All_coef,left,SqueezeNet,0.5429857611195381,0.4908419901585567,0.6533333333333333,0.5266203703703703,0.07407407407407407,0.9791666666666666,0.4583333333333333,0.6504629629629629,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\left\SqueezeNet\20260919_163248
All_coef,right,SVM,0.773780487804878,0.7974513749161637,0.8133333333333334,0.7295454545454545,0.55,0.9090909090909091,0.7441520467836257,0.8581818181818182,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\right\SVM\20260919_163258
All_coef,right,MLP,0.8332039911308204,0.8529980087027067,0.8666666666666667,0.8136363636363636,0.7,0.9272727272727272,0.8237781954887217,0.8827272727272727,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\right\MLP\20260919_163259
All_coef,right,ResNet,0.6001662971175167,0.6079195066536839,0.72,0.5704545454545454,0.25,0.8909090909090909,0.5730550284629982,0.6772727272727272,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\right\ResNet\20260919_163302
All_coef,right,ResNetAE,0.580210643015521,0.5808806301029144,0.7466666666666667,0.5568181818181818,0.15,0.9636363636363636,0.544,0.730909090909091,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_plsda_runs\All_coef\right\ResNetAE\20260919_163311
