number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7467532467532467,2026-09-19 22:12:54.142237,2026-09-19 22:13:02.593540,0 days 00:00:08.451303,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.6558441558441558,2026-09-19 22:13:02.593540,2026-09-19 22:13:08.312934,0 days 00:00:05.719394,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5584415584415584,2026-09-19 22:13:08.312934,2026-09-19 22:13:11.642509,0 days 00:00:03.329575,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7705627705627706,2026-09-19 22:13:11.642509,2026-09-19 22:13:21.455621,0 days 00:00:09.813112,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.49783549783549785,2026-09-19 22:13:21.455621,2026-09-19 22:13:22.587162,0 days 00:00:01.131541,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5768398268398268,2026-09-19 22:13:22.587162,2026-09-19 22:13:23.878610,0 days 00:00:01.291448,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.8062770562770563,2026-09-19 22:13:23.878610,2026-09-19 22:13:34.676518,0 days 00:00:10.797908,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.5075757575757576,2026-09-19 22:13:34.676518,2026-09-19 22:13:36.447046,0 days 00:00:01.770528,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5887445887445888,2026-09-19 22:13:36.447046,2026-09-19 22:13:39.778268,0 days 00:00:03.331222,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5887445887445888,2026-09-19 22:13:39.778268,2026-09-19 22:13:41.329187,0 days 00:00:01.550919,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
