Cohort,Side,Model,CV_BalancedAccuracy,CV_F1_Macro,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,RunDir
All_coef,left,SVM,0.8304545676958457,0.8411755748439165,0.8666666666666667,0.8553240740740741,0.8148148148148148,0.8958333333333334,0.8553240740740741,0.8950617283950617,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\SVM\20260919_161451
All_coef,left,MLP,0.8386749522924108,0.8442120985810306,0.8133333333333334,0.8055555555555556,0.7777777777777778,0.8333333333333334,0.800531914893617,0.8618827160493828,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\MLP\20260919_161451
All_coef,left,ResNet,0.5366247492293389,0.49399164054336464,0.6266666666666667,0.4895833333333333,0.0,0.9791666666666666,0.38524590163934425,0.5146604938271605,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\ResNet\20260919_161457
All_coef,left,ResNetAE,0.5020550961491412,0.39931804909292995,0.64,0.5,0.0,1.0,0.39024390243902435,0.5378086419753086,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\ResNetAE\20260919_161505
All_coef,left,MobileNet,0.5659588002152958,0.5546624494000552,0.6,0.5011574074074074,0.14814814814814814,0.8541666666666666,0.4713345864661654,0.5509259259259258,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\MobileNet\20260919_161513
All_coef,left,SqueezeNet,0.5,0.3905930470347649,0.64,0.5,0.0,1.0,0.39024390243902435,0.3603395061728395,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\left\SqueezeNet\20260919_161520
All_coef,right,SVM,0.8255543237250554,0.8502591841334235,0.8266666666666667,0.7545454545454545,0.6,0.9090909090909091,0.7668022004305189,0.8945454545454545,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SVM\20260919_161524
All_coef,right,MLP,0.8614190687361419,0.8741576262662547,0.8533333333333334,0.8045454545454545,0.7,0.9090909090909091,0.8094248094248094,0.8963636363636363,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\MLP\20260919_161524
All_coef,right,ResNet,0.5511640798226164,0.5326190476190475,0.7066666666666667,0.5136363636363637,0.1,0.9272727272727272,0.48821339950372206,0.5445454545454544,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\ResNet\20260919_161527
All_coef,right,ResNetAE,0.5366962305986697,0.5107110711071108,0.7066666666666667,0.49772727272727274,0.05,0.9454545454545454,0.45436507936507936,0.62,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\ResNetAE\20260919_161535
All_coef,right,MobileNet,0.6138026607538802,0.6245295698924731,0.76,0.6136363636363636,0.3,0.9272727272727272,0.625,0.6872727272727274,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\MobileNet\20260919_161545
All_coef,right,SqueezeNet,0.49018847006651883,0.42550799827064417,0.7066666666666667,0.4818181818181818,0.0,0.9636363636363636,0.4140625,0.4218181818181818,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SqueezeNet\20260919_161556
All_coef_Ds004469,left,SVM,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.0,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SVM\20260919_161601
All_coef_Ds004469,left,MLP,0.4507154213036566,0.43209876543209874,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.04999999999999999,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MLP\20260919_161601
All_coef_Ds004469,left,ResNet,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.4,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNet\20260919_161602
All_coef_Ds004469,left,ResNetAE,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.3,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNetAE\20260919_161603
All_coef_Ds004469,left,MobileNet,0.5,0.40659340659340665,0.75,0.45,0.0,0.9,0.4285714285714286,0.35,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MobileNet\20260919_161604
All_coef_Ds004469,left,SqueezeNet,0.5,0.40659340659340665,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.3,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SqueezeNet\20260919_161606
All_coef_Ds004469,right,SVM,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.18181818181818177,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SVM\20260919_161607
All_coef_Ds004469,right,MLP,0.47619047619047616,0.4301075268817204,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.7272727272727273,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MLP\20260919_161607
All_coef_Ds004469,right,ResNet,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.5454545454545454,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNet\20260919_161608
All_coef_Ds004469,right,ResNetAE,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.2727272727272727,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNetAE\20260919_161609
All_coef_Ds004469,right,MobileNet,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.5454545454545454,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MobileNet\20260919_161611
All_coef_Ds004469,right,SqueezeNet,0.5,0.4421052631578948,0.9166666666666666,0.5,0.0,1.0,0.4782608695652174,0.4545454545454546,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SqueezeNet\20260919_161613
All_coef_Ds005602,left,SVM,0.8587301587301588,0.8653223432440389,0.8888888888888888,0.8873684210526316,0.88,0.8947368421052632,0.8847058823529412,0.9263157894736843,C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\SVM\20260919_161614
