number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.685064935064935,2026-09-19 21:36:38.175121,2026-09-19 21:37:11.505242,0 days 00:00:33.330121,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5698412698412698,2026-09-19 21:37:11.505242,2026-09-19 21:37:19.969840,0 days 00:00:08.464598,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6411255411255411,2026-09-19 21:37:19.969840,2026-09-19 21:37:45.111659,0 days 00:00:25.141819,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.6587301587301587,2026-09-19 21:37:45.111659,2026-09-19 21:37:59.128505,0 days 00:00:14.016846,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.5656565656565656,2026-09-19 21:37:59.128505,2026-09-19 21:38:15.012644,0 days 00:00:15.884139,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.6452380952380952,2026-09-19 21:38:15.012644,2026-09-19 21:38:29.938853,0 days 00:00:14.926209,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.5471861471861472,2026-09-19 21:38:29.938853,2026-09-19 21:38:40.061636,0 days 00:00:10.122783,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.543001443001443,2026-09-19 21:38:40.061636,2026-09-19 21:38:52.536947,0 days 00:00:12.475311,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.537950937950938,2026-09-19 21:38:52.536947,2026-09-19 21:38:59.556615,0 days 00:00:07.019668,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.5416305916305916,2026-09-19 21:38:59.556615,2026-09-19 21:39:05.426888,0 days 00:00:05.870273,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
