"Cohort","Side","CV_BA_Mean","CV_BA_SD","Test_Accuracy_Mean","Test_Accuracy_SD","Test_BA_Mean","Test_BA_SD","Test_F1_Mean","Test_F1_SD","Test_AUC_Mean","Test_AUC_SD"
"All_coef","left","0.790314951639999","0.00841060626056322","0.72","1.35973995551052E-16","0.716435185185185","0","0.706649282920469","0","0.766975308641975","1.35973995551052E-16"
"All_coef","right","0.808924611973392","0.0105612854120053","0.826666666666667","0","0.802272727272727","0","0.788089545750924","0","0.885454545454545","1.35973995551052E-16"
"All_coef_Ds004469","left","0.42845786963434","0.0282948676161489","0.583333333333333","0","0.35","6.79869977755259E-17","0.368421052631579","6.79869977755259E-17","0.1","0"
"All_coef_Ds004469","right","0.661976911976912","0.0278105539281502","0.833333333333333","0","0.454545454545455","0","0.454545454545455","0","0.181818181818182","0"
"All_coef_Ds005602","left","0.832756132756133","0.022096423412984","0.793650793650794","0","0.794736842105263","0","0.788317394675627","0","0.864210526315789","0"
"All_coef_Ds005602","right","0.837658912275149","0.0136737920865832","0.841269841269841","0","0.841507177033493","0","0.821428571428572","1.35973995551052E-16","0.927033492822967","0"
