number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6705174869441367,2026-09-19 20:37:43.578532,2026-09-19 20:38:26.413550,0 days 00:00:42.835018,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5846652951416363,2026-09-19 20:38:26.413550,2026-09-19 20:38:35.567802,0 days 00:00:09.154252,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.6662446589650262,2026-09-19 20:38:35.567802,2026-09-19 20:39:08.822710,0 days 00:00:33.254908,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,COMPLETE
3,0.6225668618452287,2026-09-19 20:39:08.822710,2026-09-19 20:39:21.375232,0 days 00:00:12.552522,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,PRUNED
4,0.6875296724165216,2026-09-19 20:39:21.375232,2026-09-19 20:39:54.423159,0 days 00:00:33.047927,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,COMPLETE
5,0.6776388669093211,2026-09-19 20:39:54.423159,2026-09-19 20:40:13.861416,0 days 00:00:19.438257,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,COMPLETE
6,0.5845466054755499,2026-09-19 20:40:13.861416,2026-09-19 20:40:30.359179,0 days 00:00:16.497763,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.6760959012501978,2026-09-19 20:40:30.359179,2026-09-19 20:40:59.836647,0 days 00:00:29.477468,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,COMPLETE
8,0.554953315398006,2026-09-19 20:40:59.836647,2026-09-19 20:41:06.854800,0 days 00:00:07.018153,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.557762304162051,2026-09-19 20:41:06.854800,2026-09-19 20:41:12.305146,0 days 00:00:05.450346,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
