number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.4864864864864865,2026-09-19 20:13:42.551897,2026-09-19 20:13:42.633898,0 days 00:00:00.082001,2.481040974867813,,auto,COMPLETE
1,0.4864864864864865,2026-09-19 20:13:42.633898,2026-09-19 20:13:42.717897,0 days 00:00:00.083999,29.154431891537552,,scale,COMPLETE
2,0.4864864864864865,2026-09-19 20:13:42.717897,2026-09-19 20:13:42.798898,0 days 00:00:00.081001,75.7947995334801,,auto,COMPLETE
3,0.47933227344992047,2026-09-19 20:13:42.798898,2026-09-19 20:13:42.882896,0 days 00:00:00.083998,0.05415244119402541,,scale,COMPLETE
4,0.5166931637519873,2026-09-19 20:13:42.882896,2026-09-19 20:13:42.965857,0 days 00:00:00.082961,0.14618962793704965,,auto,COMPLETE
5,0.5,2026-09-19 20:13:42.965857,2026-09-19 20:13:43.050426,0 days 00:00:00.084569,0.2920433847181412,,scale,COMPLETE
6,0.5,2026-09-19 20:13:43.050426,2026-09-19 20:13:43.130426,0 days 00:00:00.080000,1.1400863701127328,,auto,COMPLETE
7,0.519872813990461,2026-09-19 20:13:43.130426,2026-09-19 20:13:43.211625,0 days 00:00:00.081199,0.04809461967501574,1.8205657658407255e-05,numeric,COMPLETE
8,0.47297297297297297,2026-09-19 20:13:43.211625,2026-09-19 20:13:43.242624,0 days 00:00:00.030999,0.1653693718282443,,auto,PRUNED
9,0.5508744038155803,2026-09-19 20:13:43.242624,2026-09-19 20:13:43.326632,0 days 00:00:00.084008,0.030771802712506867,,auto,COMPLETE
