number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.6699134199134199,2026-09-19 22:36:15.205464,2026-09-19 22:36:15.279462,0 days 00:00:00.073998,4,COMPLETE
1,0.6580086580086579,2026-09-19 22:36:15.279462,2026-09-19 22:36:15.415974,0 days 00:00:00.136512,12,COMPLETE
2,0.6580086580086579,2026-09-19 22:36:15.415974,2026-09-19 22:36:15.658793,0 days 00:00:00.242819,24,COMPLETE
3,0.6580086580086579,2026-09-19 22:36:15.658793,2026-09-19 22:36:15.794548,0 days 00:00:00.135755,12,COMPLETE
4,0.6580086580086579,2026-09-19 22:36:15.794548,2026-09-19 22:36:16.030192,0 days 00:00:00.235644,24,COMPLETE
5,0.6699134199134199,2026-09-19 22:36:16.030192,2026-09-19 22:36:16.089695,0 days 00:00:00.059503,2,COMPLETE
6,0.6699134199134199,2026-09-19 22:36:16.089695,2026-09-19 22:36:16.162695,0 days 00:00:00.073000,4,COMPLETE
7,0.6699134199134199,2026-09-19 22:36:16.162695,2026-09-19 22:36:16.234104,0 days 00:00:00.071409,4,COMPLETE
8,0.6125541125541125,2026-09-19 22:36:16.234104,2026-09-19 22:36:16.326267,0 days 00:00:00.092163,24,PRUNED
9,0.6125541125541125,2026-09-19 22:36:16.327267,2026-09-19 22:36:16.418322,0 days 00:00:00.091055,24,PRUNED
