Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna no-PLS coefficient,coef_raw,All_coef,left,MobileNet,42,10,0.670817634682194,0.6666666666666666,0.59375,0.3333333333333333,0.8541666666666666,0.5924798956748533,0.7399691358024691,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MobileNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,left,MobileNet,123,10,0.670817634682194,0.6533333333333333,0.6157407407407407,0.48148148148148145,0.75,0.6173469387755102,0.6188271604938271,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MobileNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,left,MobileNet,2026,10,0.670817634682194,0.6933333333333334,0.6712962962962963,0.5925925925925926,0.75,0.6698564593301435,0.7191358024691358,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\MobileNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,left,SqueezeNet,42,10,0.506727993345403,0.5333333333333333,0.48148148148148145,0.2962962962962963,0.6666666666666666,0.48009506833036253,0.4891975308641975,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SqueezeNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,left,SqueezeNet,123,10,0.506727993345403,0.5466666666666666,0.5,0.3333333333333333,0.6666666666666666,0.499607535321821,0.5478395061728394,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SqueezeNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,left,SqueezeNet,2026,10,0.506727993345403,0.56,0.4942129629629629,0.25925925925925924,0.7291666666666666,0.48874199545548447,0.4861111111111111,"{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\left\SqueezeNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,SVM,42,10,0.8332039911308204,0.8533333333333334,0.8045454545454545,0.7,0.9090909090909091,0.8094248094248094,0.8927272727272727,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SVM\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,SVM,123,10,0.8332039911308204,0.84,0.7795454545454545,0.65,0.9090909090909091,0.7885338345864661,0.8954545454545455,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SVM\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,right,SVM,2026,10,0.8332039911308204,0.84,0.7795454545454545,0.65,0.9090909090909091,0.7885338345864661,0.89,"{""C"": 75.7947995334801, ""gamma_mode"": ""auto""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\SVM\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,MLP,42,10,0.8568736141906874,0.84,0.7954545454545454,0.7,0.8909090909090909,0.7954545454545454,0.8763636363636363,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MLP\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,MLP,123,10,0.8568736141906874,0.8666666666666667,0.8295454545454546,0.75,0.9090909090909091,0.8295454545454546,0.8954545454545455,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MLP\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,right,MLP,2026,10,0.8568736141906874,0.8666666666666667,0.8295454545454546,0.75,0.9090909090909091,0.8295454545454546,0.8909090909090909,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\MLP\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNet,42,10,0.7175720620842572,0.76,0.6772727272727272,0.5,0.8545454545454545,0.6828007518796992,0.7718181818181818,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNet\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNet,123,10,0.7175720620842572,0.8266666666666667,0.7386363636363636,0.55,0.9272727272727272,0.7577639751552794,0.7936363636363637,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNet\seed_123
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNet,2026,10,0.7175720620842572,0.84,0.7477272727272728,0.55,0.9454545454545454,0.7718052738336714,0.8727272727272727,"{""batch_size"": 8, ""dropout"": 0.2465447373174767, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNet\seed_2026
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNetAE,42,10,0.6481152993348116,0.7866666666666666,0.6954545454545454,0.5,0.8909090909090909,0.7076023391812866,0.8172727272727274,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNetAE\seed_42
Optuna no-PLS coefficient,coef_raw,All_coef,right,ResNetAE,123,10,0.6481152993348116,0.84,0.7477272727272728,0.55,0.9454545454545454,0.7718052738336714,0.8336363636363636,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""recon_weight"": 0.011900590783184251, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\final\coef_raw\All_coef\right\ResNetAE\seed_123
