"Cohort","Side","Protocol","ProtocolKey","Model","BestOOF_BA","Test_Accuracy_Mean","Test_BalancedAccuracy_Mean","Test_BalancedAccuracy_SD","Test_F1_Mean","Test_ROC_AUC_Mean","BestParams"
"All_coef","left","Optuna no-PLS coefficient","coef_raw","MLP","0.866908058912756","0.791111111111111","0.790895061728395","0.0126963600863459","0.779957005510594","0.840277777777778","{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}"
"All_coef","right","Optuna no-PLS coefficient","coef_raw","MLP","0.856873614190687","0.857777777777778","0.818181818181818","0.0196823955405555","0.818181818181818","0.887575757575758","{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}"
"All_coef_Ds004469","left","Optuna raw XYZ PointNet","pointnet_raw","PointNet","0.60731319554849","0.722222222222222","0.433333333333333","0.115470053837925","0.414141414141414","0.233333333333333","{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}"
"All_coef_Ds004469","right","Optuna fold-local PLS-DA PointNet","pointnet_plsda","PointNet","0.906926406926407","0.444444444444444","0.242424242424242","0.233254610883949","0.268394648829431","0.0303030303030303","{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}"
"All_coef_Ds005602","left","Optuna fold-local PLS-DA coefficient","coef_plsda","MLP","0.907359307359307","0.825396825396825","0.816491228070175","0.00395029131550795","0.817158863545418","0.903859649122807","{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}"
"All_coef_Ds005602","right","Optuna fold-local PLS-DA coefficient","coef_plsda","MLP","0.901448013926254","0.825396825396825","0.810207336523126","0.03051020946209","0.799677283088949","0.92304625199362","{""batch_size"": 8, ""dropout"": 0.4579309401710595, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}"
