Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,ResNetAE,10,5,0.604133545310016,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\left\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,MobileNet,10,0,0.5453100158982512,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\left\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,left,SqueezeNet,10,0,0.5206677265500795,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\left\SqueezeNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,SVM,10,3,0.5043290043290043,"{""C"": 0.05415244119402541, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\SVM
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,MLP,10,9,0.5909090909090909,"{""batch_size"": 16, ""dropout"": 0.23013213230530574, ""lr"": 0.0007641361869233315, ""weight_decay"": 0.0048696409415209}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\MLP
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,ResNet,10,0,0.5909090909090909,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\ResNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,ResNetAE,10,5,0.5909090909090909,"{""batch_size"": 16, ""dropout"": 0.14881529393791154, ""lr"": 0.0015635108708133452, ""recon_weight"": 0.04407984038169244, ""weight_decay"": 1.6536937182824424e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\ResNetAE
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,MobileNet,10,0,0.5454545454545454,"{""batch_size"": 8, ""dropout"": 0.16239780813448107, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\MobileNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds004469,right,SqueezeNet,10,5,0.5432900432900433,"{""batch_size"": 32, ""dropout"": 0.4233589392465845, ""lr"": 0.0007896186801026692, ""weight_decay"": 4.809461967501575e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds004469\right\SqueezeNet
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,SVM,10,1,0.8832611832611832,"{""C"": 29.154431891537552, ""gamma_mode"": ""scale""}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\SVM
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,MLP,10,2,0.9041125541125541,"{""batch_size"": 32, ""dropout"": 0.3099025726528951, ""lr"": 0.0016967533607196547, ""weight_decay"": 7.068974950624607e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\MLP
Optuna no-PLS coefficient,coef_raw,All_coef_Ds005602,left,ResNet,10,4,0.6716450216450216,"{""batch_size"": 32, ""dropout"": 0.1185801650879991, ""lr"": 0.000471705203762518, ""weight_decay"": 0.0013826232179369874}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\coef_raw\All_coef_Ds005602\left\ResNet
