Protocol,ProtocolKey,Cohort,Side,Model,OptunaTrials,BestTrial,BestOOF_BalancedAccuracy,BestParams,StudyDir
Optuna direct PLS-DA classifier,plsda_direct,All_coef_Ds004469,right,PLSDA_classifier,10,0,0.6699134199134199,"{""n_components"": 4}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\plsda_direct\All_coef_Ds004469\right\PLSDA_classifier
Optuna direct PLS-DA classifier,plsda_direct,All_coef_Ds005602,left,PLSDA_classifier,10,0,0.8841991341991342,"{""n_components"": 4}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\plsda_direct\All_coef_Ds005602\left\PLSDA_classifier
Optuna direct PLS-DA classifier,plsda_direct,All_coef_Ds005602,right,PLSDA_classifier,10,0,0.8704700110777022,"{""n_components"": 4}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\plsda_direct\All_coef_Ds005602\right\PLSDA_classifier
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,left,PointNet,10,8,0.7893281792826736,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef\left\PointNet
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,right,PointNet,10,1,0.8263858093126386,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef\right\PointNet
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,left,PointNet,10,3,0.568362480127186,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef_Ds004469\left\PointNet
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,right,PointNet,10,6,0.9069264069264069,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef_Ds004469\right\PointNet
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds005602,left,PointNet,10,7,0.8675324675324676,"{""batch_size"": 16, ""dropout"": 0.3600340105889054, ""lr"": 0.00011240768803005555, ""weight_decay"": 0.004337920697490943}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef_Ds005602\left\PointNet
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds005602,right,PointNet,10,0,0.8578097800284855,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_plsda\All_coef_Ds005602\right\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef,left,PointNet,10,6,0.7975485638792386,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef,right,PointNet,10,1,0.8242239467849224,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef\right\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,left,PointNet,10,3,0.6073131955484896,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef_Ds004469\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,right,PointNet,10,6,0.8062770562770563,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef_Ds004469\right\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,left,PointNet,10,7,0.861976911976912,"{""batch_size"": 16, ""dropout"": 0.3600340105889054, ""lr"": 0.00011240768803005555, ""weight_decay"": 0.004337920697490943}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef_Ds005602\left\PointNet
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,right,PointNet,10,1,0.8831698053489476,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\optuna_runs_10fold_all\studies\pointnet_raw\All_coef_Ds005602\right\PointNet
