number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.5,2026-09-19 21:27:23.065088,2026-09-19 21:27:23.243007,0 days 00:00:00.177919,2.481040974867813,,auto,COMPLETE
1,0.5,2026-09-19 21:27:23.243007,2026-09-19 21:27:23.414717,0 days 00:00:00.171710,29.154431891537552,,scale,COMPLETE
2,0.5,2026-09-19 21:27:23.414717,2026-09-19 21:27:23.593816,0 days 00:00:00.179099,75.7947995334801,,auto,COMPLETE
3,0.4588744588744589,2026-09-19 21:27:23.593816,2026-09-19 21:27:23.772595,0 days 00:00:00.178779,0.05415244119402541,,scale,COMPLETE
4,0.5,2026-09-19 21:27:23.772595,2026-09-19 21:27:23.953683,0 days 00:00:00.181088,0.14618962793704965,,auto,COMPLETE
5,0.5,2026-09-19 21:27:23.953683,2026-09-19 21:27:24.134444,0 days 00:00:00.180761,0.2920433847181412,,scale,COMPLETE
6,0.5,2026-09-19 21:27:24.134444,2026-09-19 21:27:24.314965,0 days 00:00:00.180521,1.1400863701127328,,auto,COMPLETE
7,0.48593073593073594,2026-09-19 21:27:24.314965,2026-09-19 21:27:24.385787,0 days 00:00:00.070822,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5,2026-09-19 21:27:24.385787,2026-09-19 21:27:24.565024,0 days 00:00:00.179237,0.1653693718282443,,auto,COMPLETE
9,0.46645021645021645,2026-09-19 21:27:24.565024,2026-09-19 21:27:24.747825,0 days 00:00:00.182801,0.030771802712506867,,auto,COMPLETE
