number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.5,2026-09-19 20:17:08.972877,2026-09-19 20:17:09.072877,0 days 00:00:00.100000,2.481040974867813,,auto,COMPLETE
1,0.5,2026-09-19 20:17:09.072877,2026-09-19 20:17:09.166882,0 days 00:00:00.094005,29.154431891537552,,scale,COMPLETE
2,0.5,2026-09-19 20:17:09.166882,2026-09-19 20:17:09.258143,0 days 00:00:00.091261,75.7947995334801,,auto,COMPLETE
3,0.5043290043290043,2026-09-19 20:17:09.258143,2026-09-19 20:17:09.350750,0 days 00:00:00.092607,0.05415244119402541,,scale,COMPLETE
4,0.5,2026-09-19 20:17:09.351748,2026-09-19 20:17:09.443446,0 days 00:00:00.091698,0.14618962793704965,,auto,COMPLETE
5,0.5,2026-09-19 20:17:09.443446,2026-09-19 20:17:09.536421,0 days 00:00:00.092975,0.2920433847181412,,scale,COMPLETE
6,0.5,2026-09-19 20:17:09.536421,2026-09-19 20:17:09.627494,0 days 00:00:00.091073,1.1400863701127328,,auto,COMPLETE
7,0.48593073593073594,2026-09-19 20:17:09.627494,2026-09-19 20:17:09.663418,0 days 00:00:00.035924,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.5,2026-09-19 20:17:09.663418,2026-09-19 20:17:09.756952,0 days 00:00:00.093534,0.1653693718282443,,auto,COMPLETE
9,0.5,2026-09-19 20:17:09.756952,2026-09-19 20:17:09.847947,0 days 00:00:00.090995,0.030771802712506867,,auto,COMPLETE
