"Protocol","Cohort","Side","Model","CV_BalancedAccuracy","Test_Accuracy","Test_BalancedAccuracy","Test_Sensitivity","Test_Specificity","Test_F1_Macro","Test_ROC_AUC","RunDir"
"No-PLS coefficient","All_coef","right","SVM","0.8255543237250554","0.8266666666666667","0.7545454545454545","0.6","0.9090909090909091","0.7668022004305189","0.8945454545454545","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef\right\SVM\20260919_162051"
"No-PLS coefficient","All_coef_Ds004469","left","MLP","0.4507154213036566","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.04999999999999999","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MLP\20260919_162121"
"No-PLS coefficient","All_coef_Ds004469","left","MobileNet","0.5182829888712241","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.0","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\MobileNet\20260919_162125"
"No-PLS coefficient","All_coef_Ds004469","left","ResNet","0.5747217806041336","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.5","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNet\20260919_162122"
"No-PLS coefficient","All_coef_Ds004469","left","ResNetAE","0.5747217806041336","0.75","0.45","0.0","0.9","0.4285714285714286","0.5","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\ResNetAE\20260919_162123"
"No-PLS coefficient","All_coef_Ds004469","left","SqueezeNet","0.5","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.09999999999999998","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SqueezeNet\20260919_162127"
"No-PLS coefficient","All_coef_Ds004469","left","SVM","0.5","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.0","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\left\SVM\20260919_162121"
"No-PLS coefficient","All_coef_Ds004469","right","MLP","0.47619047619047616","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.7272727272727273","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MLP\20260919_162128"
"No-PLS coefficient","All_coef_Ds004469","right","MobileNet","0.5","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.2727272727272727","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\MobileNet\20260919_162134"
"No-PLS coefficient","All_coef_Ds004469","right","ResNet","0.5335497835497836","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.09090909090909094","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNet\20260919_162129"
"No-PLS coefficient","All_coef_Ds004469","right","ResNetAE","0.5","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.09090909090909094","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\ResNetAE\20260919_162131"
"No-PLS coefficient","All_coef_Ds004469","right","SqueezeNet","0.5","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.18181818181818177","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SqueezeNet\20260919_162137"
"No-PLS coefficient","All_coef_Ds004469","right","SVM","0.5","0.9166666666666666","0.5","0.0","1.0","0.4782608695652174","0.18181818181818177","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds004469\right\SVM\20260919_162128"
"No-PLS coefficient","All_coef_Ds005602","left","MLP","0.8841991341991342","0.8571428571428571","0.8542105263157895","0.84","0.868421052631579","0.851764705882353","0.9168421052631578","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\MLP\20260919_162139"
"No-PLS coefficient","All_coef_Ds005602","left","MobileNet","0.6794372294372295","0.6825396825396826","0.6478947368421053","0.48","0.8157894736842105","0.6507760532150776","0.7231578947368421","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\MobileNet\20260919_162150"
"No-PLS coefficient","All_coef_Ds005602","left","ResNet","0.6262626262626263","0.5396825396825397","0.4815789473684211","0.2","0.7631578947368421","0.46153846153846156","0.5684210526315789","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\ResNet\20260919_162141"
"No-PLS coefficient","All_coef_Ds005602","left","ResNetAE","0.5906204906204906","0.5555555555555556","0.48105263157894734","0.12","0.8421052631578947","0.4360613810741688","0.5610526315789474","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\ResNetAE\20260919_162145"
"No-PLS coefficient","All_coef_Ds005602","left","SqueezeNet","0.5","0.6031746031746031","0.5","0.0","1.0","0.3762376237623762","0.5621052631578948","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\SqueezeNet\20260919_162157"
"No-PLS coefficient","All_coef_Ds005602","left","SVM","0.8587301587301588","0.8888888888888888","0.8873684210526316","0.88","0.8947368421052632","0.8847058823529412","0.9263157894736843","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\left\SVM\20260919_162138"
"No-PLS coefficient","All_coef_Ds005602","right","MLP","0.870509574299731","0.8412698412698413","0.8265550239234449","0.7894736842105263","0.8636363636363636","0.8168604651162792","0.9114832535885167","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\MLP\20260919_162201"
"No-PLS coefficient","All_coef_Ds005602","right","MobileNet","0.684641557208419","0.7619047619047619","0.6800239234449761","0.47368421052631576","0.8863636363636364","0.6920821114369501","0.8301435406698565","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\MobileNet\20260919_162213"
"No-PLS coefficient","All_coef_Ds005602","right","ResNet","0.6100253204620985","0.6666666666666666","0.507177033492823","0.10526315789473684","0.9090909090909091","0.476039603960396","0.6901913875598086","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\ResNet\20260919_162203"
"No-PLS coefficient","All_coef_Ds005602","right","ResNetAE","0.6156037347681595","0.6349206349206349","0.48444976076555024","0.10526315789473684","0.8636363636363636","0.4579124579124579","0.6626794258373205","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\ResNetAE\20260919_162208"
"No-PLS coefficient","All_coef_Ds005602","right","SqueezeNet","0.5225510365564171","0.6984126984126984","0.5149521531100478","0.05263157894736842","0.9772727272727273","0.4571428571428572","0.5406698564593301","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\SqueezeNet\20260919_162222"
"No-PLS coefficient","All_coef_Ds005602","right","SVM","0.8620430447855674","0.8571428571428571","0.8229665071770335","0.7368421052631579","0.9090909090909091","0.8278165806255693","0.916267942583732","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\leakage_free_runs\All_coef_Ds005602\right\SVM\20260919_162201"
"Raw XYZ PointNet","All_coef","left","PointNet","0.6971669031658266","0.8133333333333334","0.7731481481481481","0.6296296296296297","0.9166666666666666","0.7855392156862745","0.9212962962962963","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef\left\20260919_164704"
"Raw XYZ PointNet","All_coef","right","PointNet","0.6722283813747227","0.8666666666666667","0.7977272727272727","0.65","0.9454545454545454","0.8172514619883041","0.8727272727272727","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef\right\20260919_164716"
"Raw XYZ PointNet","All_coef_Ds004469","left","PointNet","0.49602543720190784","0.8333333333333334","0.5","0.0","1.0","0.45454545454545453","0.04999999999999999","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef_Ds004469\left\20260919_164728"
"Raw XYZ PointNet","All_coef_Ds004469","right","PointNet","0.512987012987013","0.8333333333333334","0.45454545454545453","0.0","0.9090909090909091","0.45454545454545453","0.0","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef_Ds004469\right\20260919_164731"
"Raw XYZ PointNet","All_coef_Ds005602","left","PointNet","0.7092352092352092","0.8095238095238095","0.76","0.52","1.0","0.7739234449760766","0.9442105263157895","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef_Ds005602\left\20260919_164734"
"Raw XYZ PointNet","All_coef_Ds005602","right","PointNet","0.7493669884475391","0.8253968253968254","0.770334928229665","0.631578947368421","0.9090909090909091","0.7824175824175824","0.9090909090909092","C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_runs\All_coef_Ds005602\right\20260919_164742"
