number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.8355699855699856,2026-09-19 21:31:50.938255,2026-09-19 21:31:51.612094,0 days 00:00:00.673839,2.481040974867813,,auto,COMPLETE
1,0.8453102453102452,2026-09-19 21:31:51.612094,2026-09-19 21:31:52.295060,0 days 00:00:00.682966,29.154431891537552,,scale,COMPLETE
2,0.8508658008658009,2026-09-19 21:31:52.295060,2026-09-19 21:31:52.969121,0 days 00:00:00.674061,75.7947995334801,,auto,COMPLETE
3,0.5745310245310246,2026-09-19 21:31:52.969121,2026-09-19 21:31:53.244429,0 days 00:00:00.275308,0.05415244119402541,,scale,PRUNED
4,0.618975468975469,2026-09-19 21:31:53.244429,2026-09-19 21:31:53.511451,0 days 00:00:00.267022,0.14618962793704965,,auto,PRUNED
5,0.6124819624819625,2026-09-19 21:31:53.511451,2026-09-19 21:31:53.771131,0 days 00:00:00.259680,0.2920433847181412,,scale,PRUNED
6,0.6582972582972583,2026-09-19 21:31:53.771131,2026-09-19 21:31:54.148441,0 days 00:00:00.377310,1.1400863701127328,,auto,PRUNED
7,0.49610389610389616,2026-09-19 21:31:54.148441,2026-09-19 21:31:54.433371,0 days 00:00:00.284930,0.04809461967501574,1.8205657658407255e-05,numeric,PRUNED
8,0.6092352092352092,2026-09-19 21:31:54.433371,2026-09-19 21:31:54.696371,0 days 00:00:00.263000,0.1653693718282443,,auto,PRUNED
9,0.5266233766233767,2026-09-19 21:31:54.696371,2026-09-19 21:31:54.994127,0 days 00:00:00.297756,0.030771802712506867,,auto,PRUNED
