number,value,datetime_start,datetime_complete,duration,params_n_components,state
0,0.4260731319554849,2026-09-19 22:36:13.420591,2026-09-19 22:36:13.498609,0 days 00:00:00.078018,4,COMPLETE
1,0.3990461049284579,2026-09-19 22:36:13.498609,2026-09-19 22:36:13.645602,0 days 00:00:00.146993,12,COMPLETE
2,0.3990461049284579,2026-09-19 22:36:13.645602,2026-09-19 22:36:13.906396,0 days 00:00:00.260794,24,COMPLETE
3,0.3990461049284579,2026-09-19 22:36:13.906396,2026-09-19 22:36:14.047950,0 days 00:00:00.141554,12,COMPLETE
4,0.3990461049284579,2026-09-19 22:36:14.047950,2026-09-19 22:36:14.299407,0 days 00:00:00.251457,24,COMPLETE
5,0.45548489666136727,2026-09-19 22:36:14.299407,2026-09-19 22:36:14.358980,0 days 00:00:00.059573,2,COMPLETE
6,0.4260731319554849,2026-09-19 22:36:14.358980,2026-09-19 22:36:14.454989,0 days 00:00:00.096009,4,COMPLETE
7,0.4260731319554849,2026-09-19 22:36:14.454989,2026-09-19 22:36:14.535981,0 days 00:00:00.080992,4,COMPLETE
8,0.3990461049284579,2026-09-19 22:36:14.535981,2026-09-19 22:36:14.805226,0 days 00:00:00.269245,24,COMPLETE
9,0.3990461049284579,2026-09-19 22:36:14.805226,2026-09-19 22:36:15.044474,0 days 00:00:00.239248,24,COMPLETE
